Smiles,Molecule_ID,pIC50
CC(C)c1ccnc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2CC2CCC(F)(F)CC2)c1,118558950,7.240936812
COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(C#N)cc1)N(c1cc(Cl)ccc1C)C2=O,86767017,7.238824187
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3CCC(C)(O)C3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,134819417,7.23852322
CC(C)c1cnc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)s1,90324960,7.23739645
CS(=O)(=O)OCCN1[C@H]2CCn3c(nc4cc(C(=O)O)ccc43)[C@H]2[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,155455959,7.236572006
CS(=O)(=O)CCCN1[C@H]2CCn3c(nc4cc(C(=O)O)ccc43)[C@H]2[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,129028669,7.236572006
CC(=O)Nc1ccc(N2CC[C@H]3[C@@H](C2=O)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc4cc(Cl)ccc42)N3CC2CC2)cc1,118636572,7.236572006
CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)NC[C@H](O)CO)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,67999574,7.236572006
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2ncc(CC(=O)O)s2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)c(F)c1,73386675,7.236572006
C[C@H]1CC[C@H](Cn2c(N3CCCC4CCCC43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,90684037,7.236572006
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3ccc(OC(F)F)cn3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,77846957,7.233289793
Cc1ccc(N(C)C)cc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(C(F)(F)F)cc1,77847798,7.232844134
CC(C)c1cc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)ccn1,90325141,7.230918213
COc1ccc(C)cc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CC(F)(F)C3)c2n1Cc1ccc(C(F)(F)F)cc1,90325203,7.229958446
C[C@@H](Nc1nc(C(=O)O)nc2nc(C(=O)NCc3ccccc3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90318556,7.229737262
C[C@@H]1CNCCN1c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,134819492,7.229368872
Cc1c(C(C)C)ccnc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(C(F)(F)F)cc1,77847210,7.229295232
CO[C@]1(c2ccc(Cl)cc2)c2ccc(C(C)(O)CNC3CC3)cc2C(=O)N1Cc1ccc(Cl)cn1,135282668,7.229147988
CCO[C@]1(c2ccc(Cl)cc2)c2c(F)cc([C@](O)(CC)C3(F)CCOCC3)cc2C(=O)N1[C@@H](CC(=O)O)c1ccc(Cl)cc1,135281526,7.229147988
C[C@H]1CC[C@H](Cn2c(N3CCO[C@H]4CCC[C@@H]43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,90684033,7.229147988
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cccc(C(C)(C)C)c3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90317667,7.228192121
C[C@H]1CC[C@H](Cn2c(N3CCCC4COCCC43)nc3nc(-c4n[nH]c(=O)o4)nc(-c4cncc(Cl)c4)c32)CC1,90319701,7.228045251
CC(C)c1ccnc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2CC2CCC(C)(C)CC2)c1,90317777,7.225702062
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3CCCCC3Cc3ccccc3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,134819334,7.222573178
CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1CCC1)c1ccc(Cl)cc1,135282934,7.22184875
CCC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cc1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1)c1cn(C)cn1,135281488,7.22184875
CC[C@@H](O)[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)C1c1ccc(Cl)cc1,58573307,7.22184875
CC[C@@H](c1ncccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,67999044,7.22184875
O=C(O)C[C@@]1(CCN2CCCC2)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,56591151,7.22184875
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,56591136,7.22184875
CCOC(=O)[C@H](CC)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,56591304,7.22184875
